Pelicula,Cines
Otra ronda ,"['Cines Embajadores', 'Cines Verdi', 'Cinesa Las Rozas - Heron City', 'Cinesa Manoteras', 'Cinesa Méndez Álvaro', 'Cinesa Nassica-Getafe', 'Cinesa Proyecciones', 'Conde Duque Auditorio Morasol', 'Conde Duque Santa Engracia', 'Golem', 'Kinépolis Madrid Ciudad de la Imagen', 'mk2 Palacio de Hielo (antiguos Cines Dreams)', 'Renoir Cines Princesa', 'Renoir Retiro']"
Cuñados ,"['Cinesa La Gavia', 'Cinesa Las Rozas - Heron City', 'Cinesa Parquesur']"
Vivo ,"['Cines La Vaguada', 'Conde Duque Santa Engracia', 'Conde Duque Verdi Alberto Aguilera', 'mk2 Palacio de Hielo (antiguos Cines Dreams)', 'Reston Cinema', 'Yelmo Cines Tresaguas']"
Ruega por nosotros ,"['Cinesa  Xanadú', 'Cinesa Méndez Álvaro', 'Cinesa Nassica-Getafe', 'Cinesa Parquesur', 'Yelmo Cines Islazul', 'Yelmo Cines Plenilunio']"
Godzilla vs. Kong ,"['Cines La Vaguada', 'Cinesa  Xanadú', 'Cinesa Equinoccio', 'Cinesa La Gavia', 'Cinesa La Moraleja', 'Cinesa Las Rosas', 'Cinesa Las Rozas - Heron City', 'Cinesa Loranca', 'Cinesa Manoteras', 'Cinesa Méndez Álvaro', 'Cinesa Nassica-Getafe', 'Cinesa Parquesur', 'Cinesa Príncipe Pío', 'Kinépolis Madrid Ciudad de la Imagen', 'Kinépolis Madrid Diversia', 'mk2 Palacio de Hielo (antiguos Cines Dreams)', 'Reston Cinema', 'Spazio Cines', 'Yelmo Cines Islazul', 'Yelmo Cines Planetocio', 'Yelmo Cines Plaza Norte 2', 'Yelmo Cines Plenilunio', 'Yelmo Cines Rivas H2O', 'Yelmo Cines Tresaguas']"
Nomadland ,"['Cines Embajadores', 'Cines La Vaguada', 'Cines Verdi', 'Conde Duque Auditorio Morasol', 'Conde Duque Santa Engracia', 'Conde Duque Verdi Alberto Aguilera', 'Golem', 'Renoir Cines Princesa', 'Renoir Plaza España', 'Renoir Retiro', 'Yelmo Cines Ideal', 'Yelmo Cines Islazul', 'Yelmo Cines Luxury Plaza Norte 2', 'Yelmo Cines Palafox', 'Yelmo Cines Planetocio', 'Yelmo Cines Plaza Norte 2', 'Yelmo Cines Plenilunio', 'Yelmo Cines Rivas H2O', 'Yelmo Cines Tresaguas']"
Tom y Jerry ,"['Cinesa  Xanadú', 'Cinesa Equinoccio', 'Cinesa La Gavia', 'Cinesa La Moraleja', 'Cinesa Las Rosas', 'Cinesa Las Rozas - Heron City', 'Cinesa Loranca', 'Cinesa Manoteras', 'Cinesa Méndez Álvaro', 'Cinesa Nassica-Getafe', 'Cinesa Parquesur', 'Cinesa Príncipe Pío', 'Reston Cinema', 'Spazio Cines', 'Yelmo Cines Islazul', 'Yelmo Cines Plenilunio', 'Yelmo Cines Rivas H2O']"
Monster Hunter ,['Cinesa La Gavia']
Inmune ,['Cinesa Loranca']
Los traductores ,['Cinesa Las Rozas - Heron City']
El informe Auschwitz ,[]
El agente topo ,['Renoir Plaza España']
Minari. Historia de mi familia ,"['Cines Verdi', 'Cinesa Las Rozas - Heron City', 'Conde Duque Santa Engracia', 'Conde Duque Verdi Alberto Aguilera', 'Renoir Plaza España']"
Solo las bestias ,[]
Raya y el último dragón ,"['Conde Duque Auditorio Morasol', 'Reston Cinema', 'Spazio Cines']"
El padre ,"['Cines Verdi', 'Cinesa Las Rozas - Heron City', 'Cinesa Manoteras', 'Conde Duque Santa Engracia', 'Conde Duque Verdi Alberto Aguilera', 'Renoir Plaza España', 'Yelmo Cines Ideal', 'Yelmo Cines Islazul', 'Yelmo Cines Plaza Norte 2', 'Yelmo Cines Plenilunio', 'Yelmo Cines Tresaguas']"
Los Croods: Una nueva era ,"['Cinesa Las Rozas - Heron City', 'Cinesa Manoteras', 'Cinesa Nassica-Getafe']"
Maléfica: Maestra del mal ,"['Yelmo Cines Ideal', 'Yelmo Cines Islazul', 'Yelmo Cines Palafox', 'Yelmo Cines Planetocio', 'Yelmo Cines Plaza Norte 2', 'Yelmo Cines Plenilunio', 'Yelmo Cines Rivas H2O', 'Yelmo Cines Tresaguas']"
