Pelicula,Cines
The Mauritanian ,['Yelmo Cines Ideal']
Inmune ,"['Cinesa  Xanadú', 'Cinesa Las Rozas - Heron City', 'Cinesa Loranca', 'Cinesa Nassica-Getafe', 'Yelmo Cines Islazul', 'Yelmo Cines Luxury Plaza Norte 2', 'Yelmo Cines Planetocio', 'Yelmo Cines Plaza Norte 2', 'Yelmo Cines Plenilunio', 'Yelmo Cines Rivas H2O', 'Yelmo Cines Tresaguas']"
Los traductores ,"['Cinesa Las Rozas - Heron City', 'Cinesa Manoteras', 'Cinesa Nassica-Getafe', 'Cinesa Parquesur', 'mk2 Palacio de Hielo (antiguos Cines Dreams)', 'Renoir Cines Princesa']"
El informe Auschwitz ,"['Cinesa Las Rozas - Heron City', 'Cinesa Manoteras', 'Cinesa Méndez Álvaro', 'Cinesa Nassica-Getafe', 'Conde Duque Verdi Alberto Aguilera']"
El agente topo ,"['Cines Verdi', 'Renoir Plaza España', 'Sala Equis', 'Yelmo Cines Ideal']"
Dardara ,[]
Minari. Historia de mi familia ,"['Cines Verdi', 'Cinesa Equinoccio', 'Cinesa La Gavia', 'Cinesa La Moraleja', 'Cinesa Las Rozas - Heron City', 'Cinesa Manoteras', 'Cinesa Méndez Álvaro', 'Cinesa Príncipe Pío', 'Cinesa Proyecciones', 'Conde Duque Santa Engracia', 'Conde Duque Verdi Alberto Aguilera', 'Renoir Plaza España', 'Sala Equis', 'Yelmo Cines Ideal', 'Yelmo Cines Islazul', 'Yelmo Cines Palafox', 'Yelmo Cines Planetocio', 'Yelmo Cines Plaza Norte 2', 'Yelmo Cines Plenilunio', 'Yelmo Cines Rivas H2O', 'Yelmo Cines Tresaguas']"
Relic ,[]
Solo las bestias ,['Golem']
Raya y el último dragón ,"['Cines Embajadores', 'Conde Duque Auditorio Morasol', 'Conde Duque Santa Engracia', 'Reston Cinema', 'Spazio Cines']"
Pequeños detalles ,"['mk2 Palacio de Hielo (antiguos Cines Dreams)', 'Yelmo Cines Islazul', 'Yelmo Cines Plenilunio', 'Yelmo Cines Rivas H2O', 'Yelmo Cines Tresaguas']"
Los Elfkins ,"['Cinesa  Xanadú', 'Cinesa Manoteras', 'mk2 Palacio de Hielo (antiguos Cines Dreams)', 'Yelmo Cines Tresaguas']"
El padre ,"['Cines Verdi', 'Cinesa La Moraleja', 'Cinesa Las Rozas - Heron City', 'Cinesa Manoteras', 'Cinesa Méndez Álvaro', 'Conde Duque Santa Engracia', 'Conde Duque Verdi Alberto Aguilera', 'Renoir Plaza España', 'Sala Equis', 'Yelmo Cines Ideal', 'Yelmo Cines Palafox', 'Yelmo Cines Plaza Norte 2', 'Yelmo Cines Plenilunio', 'Yelmo Cines Rivas H2O', 'Yelmo Cines Tresaguas']"
Los Croods: Una nueva era ,"['Cinesa  Xanadú', 'Cinesa Equinoccio', 'Cinesa La Gavia', 'Cinesa La Moraleja', 'Cinesa Las Rozas - Heron City', 'Cinesa Manoteras', 'Cinesa Méndez Álvaro', 'Cinesa Nassica-Getafe', 'Cinesa Parquesur', 'Cinesa Príncipe Pío', 'mk2 Palacio de Hielo (antiguos Cines Dreams)', 'Yelmo Cines Islazul', 'Yelmo Cines Planetocio', 'Yelmo Cines Plaza Norte 2', 'Yelmo Cines Plenilunio', 'Yelmo Cines Rivas H2O', 'Yelmo Cines Tresaguas']"
Wonder Woman 1984 ,"['Cinesa Las Rozas - Heron City', 'Cinesa Nassica-Getafe']"
Hasta el cielo ,['Cinesa Las Rozas - Heron City']
En guerra con mi abuelo ,"['Cinesa Las Rozas - Heron City', 'Cinesa Manoteras', 'Cinesa Méndez Álvaro', 'Cinesa Nassica-Getafe', 'mk2 Palacio de Hielo (antiguos Cines Dreams)', 'Yelmo Cines Rivas H2O']"
La vampira de Barcelona ,[]
Las niñas ,['Renoir Plaza España']
El jinete del dragón ,['Cinesa Méndez Álvaro']
Trolls 2: Gira mundial ,['Cinesa Nassica-Getafe']
